file_name,url,meeting_title,meeting_date
signedminutesofseptember262023annualboardmeeting.pdf,https://www.humboldt.edu/sites/default/files/research/2025-04/signedminutesofseptember262023annualboardmeeting.pdf,Download Minutes (9-26-23),9-26-23
agenda9-26-23businessmeetingofthebodwebsite.pdf,https://www.humboldt.edu/sites/default/files/research/2025-04/agenda9-26-23businessmeetingofthebodwebsite.pdf,Download Agenda (9-26-23),9-26-23
signedminutesofseptember262023businessboardmeeting.pdf,https://www.humboldt.edu/sites/default/files/research/2025-04/signedminutesofseptember262023businessboardmeeting.pdf,Download Minutes (9-26-23),9-26-23
agenda4-29-2024financemeetingwebsite.pdf,https://www.humboldt.edu/sites/default/files/research/2025-04/agenda4-29-2024financemeetingwebsite.pdf,Download Agenda (4-29-24),4-29-24
signedminutesofapril292024financecommitteemeeting.pdf,https://www.humboldt.edu/sites/default/files/research/2025-04/signedminutesofapril292024financecommitteemeeting.pdf,Download Minutes (4-29-24),4-29-24
agenda2-26-2024financemeetingwebsite.pdf,https://www.humboldt.edu/sites/default/files/research/2025-04/agenda2-26-2024financemeetingwebsite.pdf,Download Agenda (2-26-24),2-26-24
signedminutesoffebruary262024financecommitteemeeting.pdf,https://www.humboldt.edu/sites/default/files/research/2025-04/signedminutesoffebruary262024financecommitteemeeting.pdf,Download Minutes (2-26-24),2-26-24
agenda11-29-2023financemeetingwebsite.pdf,https://www.humboldt.edu/sites/default/files/research/2025-04/agenda11-29-2023financemeetingwebsite.pdf,Download Agenda (11-29-23),11-29-23
signedminutesofnovember292023financecommitteemeeting.pdf,https://www.humboldt.edu/sites/default/files/research/2025-04/signedminutesofnovember292023financecommitteemeeting.pdf,Download Minutes (11-29-23),11-29-23
agenda9-19-2023financemeetingwebsite.pdf,https://www.humboldt.edu/sites/default/files/research/2025-04/agenda9-19-2023financemeetingwebsite.pdf,Download Agenda (9-19-23),9-19-23
signedminutesofseptember192023financecommitteemeeting.pdf,https://www.humboldt.edu/sites/default/files/research/2025-04/signedminutesofseptember192023financecommitteemeeting.pdf,Download Minutes (9-19-23),9-19-23
agenda4-3-24investmentcommitteemeetingwebsite.pdf,https://www.humboldt.edu/sites/default/files/research/2025-04/agenda4-3-24investmentcommitteemeetingwebsite.pdf,Download Agenda (4-3-24),4-3-24
signedminutesofapril32024investmentcommitteemeeting.pdf,https://www.humboldt.edu/sites/default/files/research/2025-04/signedminutesofapril32024investmentcommitteemeeting.pdf,Download Minutes (4-3-24),4-3-24
agenda9-15-23executivecommitteemeetingwebsitecp.pdf,https://www.humboldt.edu/sites/default/files/research/2025-04/agenda9-15-23executivecommitteemeetingwebsitecp.pdf,Download Agenda (9-15-23),9-15-23
signedminutesofseptember152023executivecommitteemeeting.pdf,https://www.humboldt.edu/sites/default/files/research/2025-04/signedminutesofseptember152023executivecommitteemeeting.pdf,Download Minutes (9-15-23),9-15-23
agenda9-13-23auditcommitteewebsitecp.pdf,https://www.humboldt.edu/sites/default/files/research/2025-04/agenda9-13-23auditcommitteewebsitecp.pdf,Download Agenda (9-13-23),9-13-23
signedminutesofseptember132023auditcommitteemeeting.pdf,https://www.humboldt.edu/sites/default/files/research/2025-04/signedminutesofseptember132023auditcommitteemeeting.pdf,Download Minutes (9-13-23),9-13-23
